Query,Rank,Product,Product_Rating,is_BestSeller,is_BestValue,is_Trending,is_Ad,is_FAssured,No_of_Ratings_and_Reviews,Seller_Name,Seller_Rating,Seller_Since,Seller_Product_Quality,Seller_Service_Quality
refrigerator,24,"LG 215 L Direct Cool Single Door 4 Star (2020) Refrigerator  (Purple Glow, GL-B221APGY)",4.4,False,False,False,True,True,"2,286 Ratings & 262 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,25,"Haier 258 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator  (Dazzle Steel, HEF-25TDS)",4.3,False,False,False,False,True,298 Ratings & 36 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,26,"Whirlpool 190 L Direct Cool Single Door 4 Star (2020) Refrigerator  (Sapphire Abyss, 205 IMPC PRM 4S INV Sapphire Abyss)",4.3,False,False,False,False,True,25 Ratings & 2 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,27,"Whirlpool 190 L Direct Cool Single Door 4 Star (2020) Refrigerator with Base Drawer  (Sapphire Abyss, 205 IMPC ROY 4S INV Sapphire Abyss)",4.4,False,False,False,False,True,44 Ratings & 7 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,28,"LG 260 L Frost Free Double Door 2 Star (2020) Refrigerator  (Dazzle Steel, GL-N292RDSY)",4.5,False,False,False,True,True,227 Ratings & 20 Reviews,RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,29,"Whirlpool 215 L Direct Cool Single Door 5 Star (2020) Refrigerator  (Sapphire Abyss, 230 IM PRO 5s PRM INV SAPPHIRE ABYSS)",4.5,False,False,False,False,True,115 Ratings & 19 Reviews,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,30,"Whirlpool 190 L Direct Cool Single Door 2 Star (2020) Refrigerator  (Sapphire Fiesta, WDE 205 CLS PLUS 2S SAPPHIRE FIESTA)",4.3,False,False,False,False,True,"33,656 Ratings & 3,834 Reviews",OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,31,"Whirlpool 300 L Frost Free Triple Door Refrigerator  (Alpha Steel (N), FP 313D PROTTON ROY)",4.4,False,False,False,False,True,"9,610 Ratings & 1,585 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,32,"Samsung 657 L Frost Free Side by Side Refrigerator  (Gentle Black Matt, RS74T5F01B4/TL)",,False,False,False,True,True,nan,OmniTechRetail.,4.1,4 years 0 months,3.2,5.0
refrigerator,33,"Samsung 212 L Direct Cool Single Door 3 Star (2020) Refrigerator  (Elegant Inox, RR22T272YS8/NL)",4.3,False,False,False,False,True,"7,481 Ratings & 1,103 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
refrigerator,34,"Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator with Base Drawer  (Saffron Red, RR19T282BR8/NL)",4.3,False,False,False,False,True,"2,293 Ratings & 247 Reviews",RAMTHRALLA Retail.,4.1,4 months,3.1,5.0
